Topic,January,February,March,April,May,June,July,August
BNP's speech about election,158,0,0,0,0,3,0,0
Awami league's meeting or briefing about election	,125,0,44,46,12,27,29,105
Election polling by awami league candidates,61,0,0,0,0,0,0,0
Police case filing against bnp's leaders,31,38,2,17,26,1,3,43
Election monitor by foreign observers	,21,4,0,0,3,20,0,0
Parliament setup after election for awami league/awami league,18,0,0,15,0,0,0,0
Some awami league leaders out of election,7,0,0,0,0,0,0,0
Bnp leader's meeting,1,91,32,45,133,77,28,93
Jatiya party,0,10,20,0,0,0,0,0
Pakistan Campaign,0,9,0,0,0,0,0,0
Khaleda zia in hospital,0,7,32,9,12,0,7,0
Refugee detention in Bangladesh,0,1,0,0,0,0,0,0
BNP boycott election,0,0,16,0,0,0,0,0
BNP leaders condolation on injured people,0,0,8,0,0,0,0,0
BNP Rally,0,0,1,0,0,0,54,0
Comilla city election,0,0,1,0,0,0,0,0
Student politics ,0,0,0,4,0,0,5,0
Annual Budget and Inflation,0,0,0,0,0,27,0,0
Awami League leader's murder,0,0,0,0,6,6,0,0
Upazilla election,0,0,0,0,53,0,0,6
Labor movement,0,0,0,0,13,0,16,0
Corruption of army officers,0,0,0,0,4,0,0,0
Israel palestine war,0,0,0,0,1,0,0,0
jamaat e islami shibir,0,0,0,0,0,0,13,24
Quota movement,0,0,0,0,0,0,7,0
Yunus as cheif advisor,0,0,0,0,0,0,0,31
